group expected got abs_err status
1 e2 e6 4 FAIL
2 e3 e4 1 FAIL
3 e2 e3 1 FAIL
4 e3 e1 2 FAIL
5 e2 e2 0 PASS
6 e4 e3 1 FAIL
7 e6 e4 2 FAIL
8 e5 e5 0 PASS
9 e6 e9 3 FAIL
10 e9 ec 3 FAIL
11 e9 e7 2 FAIL
12 e9 eb 2 FAIL
13 ea e9 1 FAIL
14 ed ee 1 FAIL
15 ed eb 2 FAIL
16 ee e8 6 FAIL
17 ee f2 4 FAIL
18 f0 f1 1 FAIL
19 f1 f0 1 FAIL
20 f2 ef 3 FAIL
21 f2 f3 1 FAIL
22 f5 f5 0 PASS
23 f5 f5 0 PASS
24 f6 f5 1 FAIL
25 f6 f9 3 FAIL
26 fa f9 1 FAIL
27 f9 f9 0 PASS
28 f9 fa 1 FAIL
29 fa fd 3 FAIL
30 fc fe 2 FAIL
31 fd fd 0 PASS
32 fd fe 1 FAIL
33 fe 02 4 FAIL
34 01 03 2 FAIL
35 02 02 0 PASS
36 03 01 2 FAIL
37 01 03 2 FAIL
38 03 06 3 FAIL
39 06 08 2 FAIL
40 08 08 0 PASS
41 07 0c 5 FAIL
42 0b 07 4 FAIL
43 07 05 2 FAIL
44 05 08 3 FAIL
